Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering with specialization in Big Data Analytics,OBC,105085,D,3
Computer Science and Engineering with specialization in Internet of Things,OBC,113258,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,143568,D,3
Computer Science and Engineering with specialization in Big Data Analytics,OBC,15986,OD,3
Computer Science and Engineering with specialization in Internet of Things,OBC,16455,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,21799,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,OBC,105085,D,4
Computer Science and Engineering with specialization in Internet of Things,OBC,114366,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,153836,D,4
Computer Science and Engineering with specialization in Big Data Analytics,OBC,17740,OD,4
Computer Science and Engineering with specialization in Internet of Things,OBC,18654,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,22659,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,OBC,105624,D,U1
Computer Science and Engineering with specialization in Internet of Things,OBC,115791,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,157236,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,OBC,27550,OD,U1
Computer Science and Engineering with specialization in Internet of Things,OBC,32642,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,-,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,OBC,109326,D,S
Computer Science and Engineering with specialization in Internet of Things,OBC,117641,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,157236,D,S
Computer Science and Engineering with specialization in Big Data Analytics,OBC,45300,OD,S
Computer Science and Engineering with specialization in Internet of Things,OBC,49055,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC,105763,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,152768,D,1
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,238500,D,1
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,-,OD,1
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,-,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,152768,D,2
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,351265,D,2
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,-,OD,2
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,-,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,152768,D,3
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,351265,D,3
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,-,OD,3
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,-,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,152768,D,4
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,351265,D,4
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,-,OD,4
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,-,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,152768,D,U1
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,351265,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,-,OD,U1
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,OD,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,-,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,152768,D,S
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,351265,D,S
Computer Science and Engineering with specialization in Big Data Analytics,OBC-DEF,-,OD,S
Computer Science and Engineering with specialization in Internet of Things,OBC-DEF,-,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,OBC-DEF,-,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,OBCGirlCandidate,88950,D,1
Computer Science and Engineering with specialization in Internet of Things,OBCGirlCandidate,121224,D,1
