Branch,Category,Jee_Rank,Region,Round
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-1,62487,OD,s2
Civil Engineering,SpotRound-2,359011,D,s2
Geoinformatics,SpotRound-2,410179,D,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-2,287575,D,s2
Civil Engineering,SpotRound-2,85107,OD,s2
Geoinformatics,SpotRound-2,85120,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-2,62487,OD,s2
Geoinformatics,OBC-DEF,658432 (Priority VI),D,1
Mechanical Engineering with specialization in Electric Vehicles,OBC-DEF,384647,D,1
Civil Engineering,OBC-DEF,33985,OD,1
Geoinformatics,OBC-DEF,410804 (Priority VIII),D,2
Mechanical Engineering with specialization in Electric Vehicles,OBC-DEF,230741,D,2
Civil Engineering,OBC-DEF,41528 (Priority VI),OD,2
Geoinformatics,OBC-DEF,451057 (Priority VIII),D,3
Mechanical Engineering with specialization in Electric Vehicles,OBC-DEF,255033,D,3
Civil Engineering,OBC-DEF,41528 (Priority VI),OD,3
Geoinformatics,OBC-DEF,461869 (Priority VIII),D,4
Mechanical Engineering with specialization in Electric Vehicles,OBC-DEF,255033,D,4
Civil Engineering,OBC-DEF,41528 (Priority VI),OD,4
Geoinformatics,OBC-DEF,480661 (Priority VIII),D,5
Mechanical Engineering with specialization in Electric Vehicles,OBC-DEF,361553,D,5
Civil Engineering,OBC-DEF,42038 (Priority VI),OD,5
Civil Engineering,OBCGirlCandidate,328871,D,1
Geoinformatics,OBCGirlCandidate,329416,D,1
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,322093,D,1
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,36663,OD,1
Civil Engineering,OBCGirlCandidate,374104,D,2
Geoinformatics,OBCGirlCandidate,384235,D,2
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,383199,D,2
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,44537,OD,2
Civil Engineering,OBCGirlCandidate,414427,D,3
Geoinformatics,OBCGirlCandidate,389744,D,3
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,400151,D,3
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,51920,OD,3
Civil Engineering,OBCGirlCandidate,458809,D,4
Geoinformatics,OBCGirlCandidate,452612,D,4
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,434179,D,4
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,52875,OD,4
Civil Engineering,OBCGirlCandidate,486192,D,5
Geoinformatics,OBCGirlCandidate,465557,D,5
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,479819,D,5
Mechanical Engineering with specialization in Electric Vehicles,OBCGirlCandidate,57753,OD,5
Civil Engineering,SC,297655,D,1
Geoinformatics,SC,312708,D,1
Mechanical Engineering with specialization in Electric Vehicles,SC,270279,D,1
Architecture,SC,6688,D,1
Civil Engineering,SC,84769,OD,1
Geoinformatics,SC,72969,OD,1
Mechanical Engineering with specialization in Electric Vehicles,SC,72465,OD,1
Architecture,SC,829,OD,1
Civil Engineering,SC,323642,D,2
Geoinformatics,SC,373478,D,2
Mechanical Engineering with specialization in Electric Vehicles,SC,332060,D,2
Architecture,SC,9770,D,2
Civil Engineering,SC,92651,OD,2
Geoinformatics,SC,97685,OD,2
Mechanical Engineering with specialization in Electric Vehicles,SC,90337,OD,2
Architecture,SC,829,OD,2
Civil Engineering,SC,348167,D,3
Geoinformatics,SC,391079,D,3
Mechanical Engineering with specialization in Electric Vehicles,SC,333228,D,3
Architecture,SC,15693,D,3
Civil Engineering,SC,111297,OD,3
Geoinformatics,SC,109730,OD,3
Mechanical Engineering with specialization in Electric Vehicles,SC,104016,OD,3
Architecture,SC,829,OD,3
Civil Engineering,SC,390613,D,4
Geoinformatics,SC,413634,D,4
Mechanical Engineering with specialization in Electric Vehicles,SC,375368,D,4
Architecture,SC,19841,D,4
Civil Engineering,SC,119180,OD,4
Geoinformatics,SC,124149,OD,4
Mechanical Engineering with specialization in Electric Vehicles,SC,119943,OD,4
Architecture,SC,829,OD,4
Civil Engineering,SC,505617,D,5
Geoinformatics,SC,554906,D,5
Mechanical Engineering with specialization in Electric Vehicles,SC,471426,D,5
Architecture,SC,40499,D,5
Civil Engineering,SC,133658,OD,5
Geoinformatics,SC,128404,OD,5
Mechanical Engineering with specialization in Electric Vehicles,SC,130272,OD,5
Architecture,SC,3244,OD,5
Civil Engineering,SC,1039366,D,S
Geoinformatics,SC,525965,D,S
