Branch,Category,Jee_Rank,Region,Round
Computer Science and Design,EWS,1091 (9246),OD,3
Computer Science and Engineering,EWS,945 (8266),OD,3
Computer Science and Social Sciences,EWS,1196 (9959),OD,3
Electronics and VLSI Engineering,EWS,1740 (13358),OD,3
Computer Science and Applied Mathematics,EWS,5288 (35493),D,4
Computer Science and Artificial Intelligence,EWS,4648 (30861),D,4
Computer Science and Biosciences,EWS,6063 (40815),D,4
Computer Science and Design,EWS,5476 (36629),D,4
Computer Science and Engineering,EWS,4810 (32188),D,4
Computer Science and Social Sciences,EWS,6103 (41102),D,4
Electronics and Communication Engineering,EWS,7151 (48456),D,4
Electronics and VLSI Engineering,EWS,7987 (55013),D,4
Computer Science and Applied Mathematics,EWS,1030 (8762),OD,4
Computer Science and Biosciences,EWS,1255 (10275),OD,4
Computer Science and Design,EWS,1097 (9322),OD,4
Computer Science and Engineering,EWS,945 (8266),OD,4
Computer Science and Social Sciences,EWS,1254 (10273),OD,4
Electronics and Communication Engineering,EWS,1576 (12347),OD,4
Electronics and VLSI Engineering,EWS,1740 (13358),OD,4
Computer Science and Applied Mathematics,EWS,6592 (44494),D,5
Computer Science and Artificial Intelligence,EWS,4711 (31341),D,5
Computer Science and Biosciences,EWS,6436 (43452),D,5
Computer Science and Design,EWS,6063 (40815),D,5
Computer Science and Engineering,EWS,4953 (33130),D,5
Computer Science and Social Sciences,EWS,6685 (45174),D,5
Electronics and Communication Engineering,EWS,7472 (50907),D,5
Electronics and VLSI Engineering,EWS,8593 (59672),D,5
Computer Science and Applied Mathematics,EWS,1328 (10769),OD,5
Computer Science and Artificial Intelligence,EWS,1097 (9322),OD,5
Computer Science and Biosciences,EWS,1640 (12761),OD,5
Computer Science and Design,EWS,1559 (12269),OD,5
Computer Science and Engineering,EWS,1030 (8762),OD,5
Computer Science and Social Sciences,EWS,1638 (12742),OD,5
Electronics and Communication Engineering,EWS,1910 (14388),OD,5
Electronics and VLSI Engineering,EWS,2064 (15296),OD,5
Computer Science and Applied Mathematics,EWS,44494,D,U1
Computer Science and Artificial Intelligence,EWS,31341,D,U1
Computer Science and Biosciences,EWS,43452,D,U1
Computer Science and Design,EWS,40815,D,U1
Computer Science and Engineering,EWS,33130,D,U1
Computer Science and Social Sciences,EWS,45174,D,U1
Electronics and Communication Engineering,EWS,50907,D,U1
Electronics and VLSI Engineering,EWS,59672,D,U1
Computer Science and Applied Mathematics,EWS,16633,OD,U1
Computer Science and Artificial Intelligence,EWS,9322,OD,U1
Computer Science and Biosciences,EWS,17319,OD,U1
Computer Science and Design,EWS,16236,OD,U1
Computer Science and Engineering,EWS,8762,OD,U1
Computer Science and Social Sciences,EWS,19150,OD,U1
Electronics and Communication Engineering,EWS,17153,OD,U1
Electronics and VLSI Engineering,EWS,20039,OD,U1
Computer Science and Biosciences,EWS,787 (18945),OD,S
Computer Science and Artificial Intelligence,EWS,172 (14274),OD,2
Electronics and Communication Engineering,EWS,1562 (23688),OD,2
Computer Science and Artificial Intelligence,EWS,172 (14274),OD,3
Computer Science and Engineering,EWS-DEF,11761 (92984 (Priority VI)),D,1
Computer Science and Engineering,EWS-DEF,11761 (92984 (Priority VI)),D,2
Computer Science and Engineering,EWS-DEF,12189 (92984 (Priority VI)),D,3
Computer Science and Engineering,EWS-DEF,12188 (92984 (Priority VI)),D,4
Computer Science and Engineering,EWS-DEF,12187 (92984 (Priority VI)),D,5
Computer Science and Engineering,EWS-DEF,92984 (Priority VI),D,U1
Computer Science and Applied Mathematics,OBC,8945 (65002),D,1
Computer Science and Artificial Intelligence,OBC,5184 (35736),D,1
Computer Science and Biosciences,OBC,10829 (82835),D,1
Computer Science and Design,OBC,9343 (68735),D,1
Computer Science and Engineering,OBC,8168 (58436),D,1
Computer Science and Social Sciences,OBC,9760 (72616),D,1
Electronics and Communication Engineering,OBC,11763 (92996),D,1
Electronics and VLSI Engineering,OBC,12951 (107566),D,1
Computer Science and Applied Mathematics,OBC,1108 (9472),OD,1
Computer Science and Artificial Intelligence,OBC,888 (7972),OD,1
Computer Science and Biosciences,OBC,1557 (12359),OD,1
Computer Science and Design,OBC,1291 (10592),OD,1
Computer Science and Engineering,OBC,887 (7971),OD,1
Computer Science and Social Sciences,OBC,1311 (10721),OD,1
Electronics and Communication Engineering,OBC,1699 (13293),OD,1
Electronics and VLSI Engineering,OBC,1755 (13581),OD,1
Computer Science and Applied Mathematics,OBC,10315 (77839),D,2
Computer Science and Artificial Intelligence,OBC,7599 (53868),D,2
Computer Science and Biosciences,OBC,11877 (94405),D,2
Computer Science and Design,OBC,10109 (75848),D,2
Computer Science and Engineering,OBC,8757 (63390),D,2
Computer Science and Social Sciences,OBC,10881 (83450),D,2
Electronics and Communication Engineering,OBC,12901 (106797),D,2
Electronics and VLSI Engineering,OBC,13790 (119092),D,2
Computer Science and Applied Mathematics,OBC,1948 (14749),OD,2
Computer Science and Artificial Intelligence,OBC,1108 (9472),OD,2
Computer Science and Biosciences,OBC,2230 (16515),OD,2
Computer Science and Design,OBC,2007 (15107),OD,2
Computer Science and Engineering,OBC,1632 (12838),OD,2
Computer Science and Social Sciences,OBC,2003 (15079),OD,2
Electronics and Communication Engineering,OBC,2158 (16022),OD,2
Electronics and VLSI Engineering,OBC,2289 (16872),OD,2
Computer Science and Applied Mathematics,OBC,11211 (82835),D,3
Computer Science and Artificial Intelligence,OBC,8432 (58436),D,3
Computer Science and Biosciences,OBC,12959 (101571),D,3
Computer Science and Design,OBC,10921 (80019),D,3
Computer Science and Engineering,OBC,9460 (66956),D,3
Computer Science and Social Sciences,OBC,12308 (94405),D,3
Electronics and Communication Engineering,OBC,13550 (109315),D,3
Electronics and VLSI Engineering,OBC,14706 (124812),D,3
Computer Science and Applied Mathematics,OBC,1975 (14749),OD,3
Computer Science and Artificial Intelligence,OBC,1763 (13476),OD,3
Computer Science and Biosciences,OBC,2456 (17651),OD,3
Computer Science and Design,OBC,2116 (15580),OD,3
Computer Science and Engineering,OBC,1931 (14492),OD,3
Computer Science and Social Sciences,OBC,2407 (17337),OD,3
Electronics and Communication Engineering,OBC,2250 (16386),OD,3
Electronics and VLSI Engineering,OBC,2542 (18181),OD,3
Computer Science and Applied Mathematics,OBC,11210 (82835),D,4
Computer Science and Artificial Intelligence,OBC,8432 (58436),D,4
Computer Science and Biosciences,OBC,12958 (101571),D,4
Computer Science and Design,OBC,10920 (80019),D,4
Computer Science and Engineering,OBC,9460 (66956),D,4
Computer Science and Social Sciences,OBC,12307 (94405),D,4
Electronics and Communication Engineering,OBC,13582 (109732),D,4
Electronics and VLSI Engineering,OBC,14717 (125023),D,4
Computer Science and Applied Mathematics,OBC,2116 (15580),OD,4
Computer Science and Artificial Intelligence,OBC,1763 (13476),OD,4
Computer Science and Biosciences,OBC,2462 (17680),OD,4
Computer Science and Design,OBC,2419 (17388),OD,4
Computer Science and Engineering,OBC,1975 (14749),OD,4
Computer Science and Social Sciences,OBC,2456 (17651),OD,4
Electronics and Communication Engineering,OBC,2728 (19329),OD,4
Electronics and VLSI Engineering,OBC,2781 (19681),OD,4
Computer Science and Applied Mathematics,OBC,11496 (85806),D,5
Computer Science and Artificial Intelligence,OBC,8431 (58436),D,5
Computer Science and Biosciences,OBC,13075 (103198),D,5
Computer Science and Design,OBC,10919 (80019),D,5
Computer Science and Engineering,OBC,9459 (66956),D,5
Computer Science and Social Sciences,OBC,12756 (99372),D,5
Electronics and Communication Engineering,OBC,13960 (114748),D,5
Electronics and VLSI Engineering,OBC,15557 (138024),D,5
Computer Science and Applied Mathematics,OBC,2456 (17651),OD,5
Computer Science and Artificial Intelligence,OBC,1763 (13476),OD,5
Computer Science and Biosciences,OBC,3034 (21244),OD,5
Computer Science and Design,OBC,2470 (17754),OD,5
Computer Science and Engineering,OBC,2158 (15815),OD,5
Computer Science and Social Sciences,OBC,2534 (18124),OD,5
Electronics and Communication Engineering,OBC,2929 (20535),OD,5
Electronics and VLSI Engineering,OBC,3114 (21706),OD,5
Computer Science and Applied Mathematics,OBC,85806,D,U1
Computer Science and Artificial Intelligence,OBC,58436,D,U1
Computer Science and Biosciences,OBC,104962,D,U1
