Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,5139,OD,2
Computer Science and Engineering with specialization in Data Science,EWS,7212,OD,2
Electrical Engineering,EWS,12683,OD,2
Electronics and Communication Engineering,EWS,9947,OD,2
Electronics and Communication Engineering with specialization in Internet of Things,EWS,8701,OD,2
Information Technology,EWS,7200,OD,2
Information Technology with specialization in Network and Information Security,EWS,8108,OD,2
Instrumentation and Control Engineering,EWS,15294,OD,2
Mathematics and Computing,EWS,8881,OD,2
Mechanical Engineering,EWS,17501,OD,2
Bio-Technology,EWS,124131,D,3
Computer Science and Engineering,EWS,18843,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,14021,D,3
Computer Science and Engineering with specialization in Data Science,EWS,25061,D,3
Electrical Engineering,EWS,65839,D,3
Electronics and Communication Engineering,EWS,46039,D,3
Electronics and Communication Engineering with specialization in Internet of Things,EWS,41745,D,3
Information Technology,EWS,27845,D,3
Information Technology with specialization in Network and Information Security,EWS,30479,D,3
Instrumentation and Control Engineering,EWS,73083,D,3
Mathematics and Computing,EWS,36619,D,3
Mechanical Engineering,EWS,88927,D,3
Bio-Technology,EWS,26115,OD,3
Computer Science and Engineering,EWS,6682,OD,3
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,7279,OD,3
Computer Science and Engineering with specialization in Data Science,EWS,7832,OD,3
Electrical Engineering,EWS,13983,OD,3
Electronics and Communication Engineering,EWS,11541,OD,3
Electronics and Communication Engineering with specialization in Internet of Things,EWS,10931,OD,3
Information Technology,EWS,8701,OD,3
Information Technology with specialization in Network and Information Security,EWS,9683,OD,3
Instrumentation and Control Engineering,EWS,15949,OD,3
Mathematics and Computing,EWS,9831,OD,3
Mechanical Engineering,EWS,18108,OD,3
Bio-Technology,EWS,134782,D,4
Computer Science and Engineering,EWS,21200,D,4
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,15406,D,4
Computer Science and Engineering with specialization in Data Science,EWS,26001,D,4
Electrical Engineering,EWS,67439,D,4
Electronics and Communication Engineering,EWS,48697,D,4
Electronics and Communication Engineering with specialization in Internet of Things,EWS,45351,D,4
Information Technology,EWS,29450,D,4
Information Technology with specialization in Network and Information Security,EWS,32611,D,4
Instrumentation and Control Engineering,EWS,75677,D,4
Mathematics and Computing,EWS,37403,D,4
Mechanical Engineering,EWS,96521,D,4
Bio-Technology,EWS,31070,OD,4
Computer Science and Engineering,EWS,7832,OD,4
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,8701,OD,4
Computer Science and Engineering with specialization in Data Science,EWS,10465,OD,4
Electrical Engineering,EWS,14535,OD,4
Electronics and Communication Engineering,EWS,13794,OD,4
Electronics and Communication Engineering with specialization in Internet of Things,EWS,13447,OD,4
Information Technology,EWS,11767,OD,4
Information Technology with specialization in Network and Information Security,EWS,11814,OD,4
Instrumentation and Control Engineering,EWS,19115,OD,4
Mathematics and Computing,EWS,12476,OD,4
Mechanical Engineering,EWS,22143,OD,4
Bio-Technology,EWS,158819,D,U1
Computer Science and Engineering,EWS,21200,D,U1
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,15406,D,U1
Computer Science and Engineering with specialization in Data Science,EWS,26001,D,U1
Electrical Engineering,EWS,70542,D,U1
Electronics and Communication Engineering,EWS,50772,D,U1
Electronics and Communication Engineering with specialization in Internet of Things,EWS,45351,D,U1
Information Technology,EWS,29450,D,U1
Information Technology with specialization in Network and Information Security,EWS,32611,D,U1
Instrumentation and Control Engineering,EWS,75677,D,U1
Mathematics and Computing,EWS,37403,D,U1
Mechanical Engineering,EWS,127689,D,U1
Computer Science and Engineering,EWS,7832,OD,U1
Computer Science and Engineering with specialization in Artificial Intelligence,EWS,8701,OD,U1
Computer Science and Engineering with specialization in Data Science,EWS,10465,OD,U1
Electronics and Communication Engineering with specialization in Internet of Things,EWS,37172,OD,U1
Information Technology,EWS,13002,OD,U1
Information Technology with specialization in Network and Information Security,EWS,13104,OD,U1
Mathematics and Computing,EWS,17092,OD,U1
Bio-Technology,EWS,339665,D,S
Computer Science and Engineering,EWS,21200,D,S
